,name,count,pctwhite,pctapi,NonWhite,API,Year
0,SMITH,2376206,73.35,0.4,0,0,2000
1,JOHNSON,1857160,61.55,0.42,0,0,2000
2,WILLIAMS,1534042,48.52,0.37,0,0,2000
3,BROWN,1380145,60.71,0.41,0,0,2000
4,JONES,1362755,57.69,0.35,0,0,2000
5,MILLER,1127803,85.81,0.42,0,0,2000
6,DAVIS,1072335,64.73,0.4,0,0,2000
7,GARCIA,858289,6.17,1.43,1,0,2000
8,RODRIGUEZ,804240,5.52,0.58,1,0,2000
9,WILSON,783051,69.72,0.46,0,0,2000
10,MARTINEZ,775072,6.04,0.6,1,0,2000
11,ANDERSON,762394,77.6,0.48,0,0,2000
12,TAYLOR,720370,67.8,0.39,0,0,2000
13,THOMAS,710696,55.53,1.63,0,0,2000
14,HERNANDEZ,706372,4.55,0.65,1,0,2000
15,MOORE,698671,68.85,0.37,0,0,2000
16,MARTIN,672711,77.47,0.71,0,0,2000
17,JACKSON,666125,41.93,0.31,0,0,2000
18,THOMPSON,644368,72.48,0.44,0,0,2000
19,WHITE,639515,67.91,0.39,0,0,2000
20,LOPEZ,621536,5.85,1.04,1,0,2000
21,LEE,605860,40.09,37.83,0,0,2000
22,GONZALEZ,597718,4.76,0.38,1,0,2000
23,HARRIS,593542,53.88,0.36,0,0,2000
24,CLARK,548369,76.84,0.41,0,0,2000
25,LEWIS,509930,60.97,0.45,0,0,2000
26,ROBINSON,503028,51.34,0.37,0,0,2000
27,WALKER,501307,61.25,0.35,0,0,2000
28,PEREZ,488521,5.95,1.18,1,0,2000
29,HALL,473568,75.11,0.48,0,0,2000
30,YOUNG,465948,68.91,2.95,0,0,2000
31,ALLEN,463368,70.24,0.41,0,0,2000
32,SANCHEZ,441242,5.77,1.01,1,0,2000
33,WRIGHT,440367,68.3,0.4,0,0,2000
34,KING,438986,72.8,0.88,0,0,2000
35,SCOTT,420091,62.6,0.41,0,0,2000
36,GREEN,413477,59.33,0.34,0,0,2000
37,BAKER,413351,82.08,0.45,0,0,2000
38,ADAMS,413086,76.17,0.45,0,0,2000
39,NELSON,412236,80.29,0.51,0,0,2000
40,HILL,411770,66.83,0.42,0,0,2000
41,RAMIREZ,388987,4.4,0.97,1,0,2000
42,CAMPBELL,371953,76.47,0.43,0,0,2000
43,MITCHELL,367433,63.55,0.39,0,0,2000
44,ROBERTS,366215,79.56,0.47,0,0,2000
45,CARTER,362548,60.51,0.39,0,0,2000
46,PHILLIPS,351848,78.95,0.45,0,0,2000
47,EVANS,342237,70.65,0.4,0,0,2000
48,TURNER,335663,66.67,0.33,0,0,2000
49,TORRES,325169,6.05,1.42,1,0,2000
50,PARKER,324246,71.49,0.44,0,0,2000
51,COLLINS,317848,73.92,0.37,0,0,2000
52,EDWARDS,317070,65.16,0.4,0,0,2000
53,STEWART,312899,71.78,0.38,0,0,2000
54,FLORES,312615,5.57,2.15,1,0,2000
55,MORRIS,311754,75.92,0.43,0,0,2000
56,NGUYEN,310125,1.26,95.93,1,1,2000
57,MURPHY,300501,85.05,0.43,0,0,2000
58,RIVERA,299463,5.92,2.06,1,0,2000
59,COOK,294795,83.52,0.44,0,0,2000
60,ROGERS,294403,77.8,0.42,0,0,2000
61,MORGAN,276400,78.47,0.42,0,0,2000
62,PETERSON,275041,86.29,0.52,0,0,2000
63,COOPER,270097,70.36,0.4,0,0,2000
64,REED,267443,73.51,0.4,0,0,2000
65,BAILEY,265916,74.77,0.4,0,0,2000
66,BELL,264752,63.57,0.41,0,0,2000
67,GOMEZ,263590,6.1,1.04,1,0,2000
68,KELLY,260385,80.39,0.49,0,0,2000
69,HOWARD,254779,66.83,0.38,0,0,2000
70,WARD,254121,77.79,0.4,0,0,2000
71,COX,253771,84.48,0.39,0,0,2000
72,DIAZ,251772,6.17,1.19,1,0,2000
73,RICHARDSON,249533,62.25,0.36,0,0,2000
74,WOOD,247299,90.06,0.51,0,0,2000
75,WATSON,242432,68.58,0.47,0,0,2000
76,BROOKS,240751,62.72,0.41,0,0,2000
77,BENNETT,239055,79.0,0.41,0,0,2000
78,GRAY,236713,71.13,0.44,0,0,2000
79,JAMES,233224,54.45,0.81,0,0,2000
80,REYES,232511,5.26,6.02,1,0,2000
81,CRUZ,231065,5.95,5.61,1,0,2000
82,HUGHES,229390,80.6,0.39,0,0,2000
