month,day,year,tmax,tmin,prcp
1,1,2000,48,35,0
1,2,2000,60,35,0.01
1,3,2000,38,32,0.25
1,4,2000,33,23,0
1,5,2000,26,13,0
1,6,2000,41,26,0
1,7,2000,29,21,0
1,8,2000,45,29,0.01
1,9,2000,41,37,0.13
1,10,2000,46,37,0.11
1,11,2000,37,29,0
1,12,2000,35,27,0
1,13,2000,34,16,0.01
1,14,2000,28,11,0
1,15,2000,42,26,0
1,16,2000,37,25,0
1,17,2000,25,19,0.1
1,18,2000,32,17,0
1,19,2000,28,13,0.29
1,20,2000,19,0,0
1,21,2000,13,-3,0
1,22,2000,27,7,0.07
1,23,2000,28,3,0
1,24,2000,15,-3,0
1,25,2000,22,12,0.03
1,26,2000,22,7,0
1,27,2000,26,14,0.03
1,28,2000,30,11,0
1,29,2000,31,16,0.14
1,30,2000,31,24,0.17
1,31,2000,25,14,0
2,1,2000,31,18,0
2,2,2000,31,11,0
2,3,2000,37,29,0
2,4,2000,31,18,0
2,5,2000,27,15,0
2,6,2000,33,13,0
2,7,2000,37,14,0
2,8,2000,33,10,0
2,9,2000,48,33,0
2,10,2000,41,29,0
2,11,2000,29,18,0
2,12,2000,35,13,0
2,13,2000,31,29,0.04
2,14,2000,33,19,0
2,15,2000,43,19,0
2,16,2000,37,19,0
2,17,2000,35,18,0
2,18,2000,32,28,1.13
2,19,2000,33,25,0
2,20,2000,31,22,0
2,21,2000,47,22,0
2,22,2000,59,39,0
2,23,2000,66,51,0
2,24,2000,57,41,0.75
2,25,2000,72,38,0
2,26,2000,64,48,0.05
2,27,2000,52,38,0
2,28,2000,55,30,0
2,29,2000,64,44,0
3,1,2000,56,36,0.05
3,2,2000,40,25,0
3,3,2000,48,22,0
3,4,2000,62,29,0
3,5,2000,69,34,0
3,6,2000,70,32,0
3,7,2000,78,53,0
3,8,2000,78,56,0.01
3,9,2000,63,28,0.01
3,10,2000,34,26,0
3,11,2000,35,24,0
3,12,2000,47,20,0
3,13,2000,44,34,0
3,14,2000,58,32,0
3,15,2000,65,34,0.29
3,16,2000,37,28,0.01
3,17,2000,36,27,0
3,18,2000,43,25,0
3,19,2000,42,36,0.09
3,20,2000,55,42,0.33
3,21,2000,51,42,0.01
3,22,2000,59,43,0
3,23,2000,62,38,0
3,24,2000,68,46,0.17
3,25,2000,61,44,0
3,26,2000,68,36,0.13
3,27,2000,56,38,0.04
3,28,2000,44,33,0.04
3,29,2000,51,29,0
3,30,2000,51,28,0
3,31,2000,63,26,0
4,1,2000,57,47,0
4,2,2000,57,44,0
4,3,2000,60,43,0
4,4,2000,46,29,0
4,5,2000,63,25,0
