id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900.00,3.00,1.00,1180.00,5650.00,1.00,0.00,0.00,3.00,7.00,1180.00,0.00,1955.00,0.00,98178.00,47.51,-122.26,1340.00,5650.00
6414100192,20141209T000000,538000.00,3.00,2.25,2570.00,7242.00,2.00,0.00,0.00,3.00,7.00,2170.00,400.00,1951.00,1991.00,98125.00,47.72,-122.32,1690.00,7639.00
5631500400,20150225T000000,180000.00,2.00,1.00,770.00,10000.00,1.00,0.00,0.00,3.00,6.00,770.00,0.00,1933.00,0.00,98028.00,47.74,-122.23,2720.00,8062.00
2487200875,20141209T000000,604000.00,4.00,3.00,1960.00,5000.00,1.00,0.00,0.00,5.00,7.00,1050.00,910.00,1965.00,0.00,98136.00,47.52,-122.39,1360.00,5000.00
1954400510,20150218T000000,510000.00,3.00,2.00,1680.00,8080.00,1.00,0.00,0.00,3.00,8.00,1680.00,0.00,1987.00,0.00,98074.00,47.62,-122.05,1800.00,7503.00
7237550310,20140512T000000,1225000.00,4.00,4.50,5420.00,101930.00,1.00,0.00,0.00,3.00,11.00,3890.00,1530.00,2001.00,0.00,98053.00,47.66,-122.01,4760.00,101930.00
1321400060,20140627T000000,257500.00,3.00,2.25,1715.00,6819.00,2.00,0.00,0.00,3.00,7.00,1715.00,0.00,1995.00,0.00,98003.00,47.31,-122.33,2238.00,6819.00
2008000270,20150115T000000,291850.00,3.00,1.50,1060.00,9711.00,1.00,0.00,0.00,3.00,7.00,1060.00,0.00,1963.00,0.00,98198.00,47.41,-122.32,1650.00,9711.00
2414600126,20150415T000000,229500.00,3.00,1.00,1780.00,7470.00,1.00,0.00,0.00,3.00,7.00,1050.00,730.00,1960.00,0.00,98146.00,47.51,-122.34,1780.00,8113.00
3793500160,20150312T000000,323000.00,3.00,2.50,1890.00,6560.00,2.00,0.00,0.00,3.00,7.00,1890.00,0.00,2003.00,0.00,98038.00,47.37,-122.03,2390.00,7570.00
1736800520,20150403T000000,662500.00,3.00,2.50,3560.00,9796.00,1.00,0.00,0.00,3.00,8.00,1860.00,1700.00,1965.00,0.00,98007.00,47.60,-122.15,2210.00,8925.00
9212900260,20140527T000000,468000.00,2.00,1.00,1160.00,6000.00,1.00,0.00,0.00,4.00,7.00,860.00,300.00,1942.00,0.00,98115.00,47.69,-122.29,1330.00,6000.00
114101516,20140528T000000,310000.00,3.00,1.00,1430.00,19901.00,1.50,0.00,0.00,4.00,7.00,1430.00,0.00,1927.00,0.00,98028.00,47.76,-122.23,1780.00,12697.00
6054650070,20141007T000000,400000.00,3.00,1.75,1370.00,9680.00,1.00,0.00,0.00,4.00,7.00,1370.00,0.00,1977.00,0.00,98074.00,47.61,-122.05,1370.00,10208.00
1175000570,20150312T000000,530000.00,5.00,2.00,1810.00,4850.00,1.50,0.00,0.00,3.00,7.00,1810.00,0.00,1900.00,0.00,98107.00,47.67,-122.39,1360.00,4850.00
