P1,P2,P3,P4,P5,Poss,PTS
D. Favors , J. Holiday , B. Ingram , J. Redick , K. Williams,38,5
D. Favors , J. Hart , J. Holiday , J. Redick , K. Williams,28,1
L. Ball , J. Holiday , B. Ingram , N. Melli , J. Okafor,24,11
D. Favors , J. Holiday , F. Jackson , J. Redick , K. Williams,22,10
N. Alexander-Walker , J. Hart , F. Jackson , N. Melli , K. Williams,21,10
L. Ball , J. Hart , B. Ingram , J. Redick , K. Williams,16,2
N. Alexander-Walker , B. Ingram , F. Jackson , J. Okafor , K. Williams,16,-2
N. Alexander-Walker , L. Ball , J. Hayes , F. Jackson , K. Williams,15,15
N. Alexander-Walker , J. Hart , J. Hayes , F. Jackson , J. Redick,14,0
D. Favors , J. Hart , J. Holiday , E. Moore , J. Redick,14,11
L. Ball , J. Holiday , B. Ingram , F. Jackson , J. Okafor,14,1
N. Alexander-Walker , J. Hart , E. Moore , J. Okafor , K. Williams,13,2
J. Hart , J. Hayes , F. Jackson , E. Moore , J. Redick,13,7
N. Alexander-Walker , J. Hayes , F. Jackson , E. Moore , K. Williams,12,11
N. Alexander-Walker , D. Favors , J. Holiday , N. Melli , E. Moore,12,13
L. Ball , J. Hart , J. Holiday , J. Okafor , K. Williams,11,3
N. Alexander-Walker , J. Hart , J. Hayes , B. Ingram , F. Jackson,11,0
J. Hart , J. Holiday , B. Ingram , N. Melli , J. Redick,11,0
L. Ball , J. Hart , B. Ingram , N. Melli , K. Williams,11,4
L. Ball , J. Hart , J. Hayes , B. Ingram , J. Redick,11,-1
N. Alexander-Walker , B. Ingram , F. Jackson , N. Melli , K. Williams,10,1
L. Ball , J. Hart , J. Holiday , B. Ingram , J. Okafor,9,0
D. Favors , J. Holiday , E. Moore , J. Redick , K. Williams,9,7
N. Alexander-Walker , B. Ingram , F. Jackson , N. Melli , K. Williams,9,1
J. Hart , J. Holiday , B. Ingram , F. Jackson , J. Okafor,8,-1
L. Ball , J. Hart , J. Holiday , B. Ingram , N. Melli,8,-1
L. Ball , J. Hart , F. Jackson , J. Okafor , K. Williams,8,0
J. Hart , J. Holiday , J. Okafor , J. Redick , K. Williams,8,3
J. Hart , J. Holiday , F. Jackson , N. Melli , K. Williams,8,7
J. Hayes , J. Holiday , B. Ingram , F. Jackson , J. Redick,8,1
L. Ball , J. Hart , N. Melli , J. Redick , K. Williams,8,-1
N. Alexander-Walker , J. Hart , J. Hayes , B. Ingram , F. Jackson,8,6
J. Hart , J. Hayes , B. Ingram , F. Jackson , E. Moore,8,5
L. Ball , D. Favors , F. Jackson , J. Redick , K. Williams,8,-1
N. Alexander-Walker , J. Hart , N. Melli , E. Moore , K. Williams,7,1
J. Hart , J. Hayes , J. Holiday , B. Ingram , E. Moore,7,0
J. Hart , J. Hayes , B. Ingram , F. Jackson , E. Moore,7,3
N. Alexander-Walker , L. Ball , F. Jackson , J. Okafor , K. Williams,7,5
D. Favors , J. Holiday , B. Ingram , E. Moore , J. Redick,7,3
N. Alexander-Walker , D. Favors , F. Jackson , J. Redick , K. Williams,7,5
L. Ball , J. Hart , J. Hayes , J. Holiday , J. Redick,7,5
L. Ball , J. Hart , J. Hayes , J. Holiday , B. Ingram,7,1
L. Ball , J. Hart , B. Ingram , F. Jackson , J. Okafor,7,5
D. Favors , J. Holiday , B. Ingram , F. Jackson , J. Redick,6,0
L. Ball , J. Hart , J. Okafor , J. Redick , K. Williams,6,3
L. Ball , D. Favors , J. Hart , J. Holiday , B. Ingram,6,4
D. Favors , J. Holiday , B. Ingram , F. Jackson , J. Redick,6,2
N. Alexander-Walker , F. Jackson , E. Moore , J. Okafor , J. Redick,6,2
L. Ball , J. Hart , B. Ingram , F. Jackson , J. Okafor,5,8
D. Favors , J. Hart , J. Holiday , F. Jackson , E. Moore,5,0
N. Alexander-Walker , J. Hart , J. Hayes , E. Moore , K. Williams,5,-1
N. Alexander-Walker , J. Hart , E. Moore , J. Okafor , K. Williams,5,3
L. Ball , J. Hart , J. Okafor , J. Redick , K. Williams,5,3
J. Hart , J. Hayes , J. Holiday , J. Redick , K. Williams,5,6
D. Favors , J. Hart , J. Holiday , F. Jackson , J. Redick,5,-1
D. Favors , J. Hart , J. Holiday , J. Redick , K. Williams,4,6
N. Alexander-Walker , J. Hayes , F. Jackson , E. Moore , K. Williams,4,6
L. Ball , J. Holiday , B. Ingram , N. Melli , J. Redick,4,1
L. Ball , J. Hart , J. Holiday , B. Ingram , J. Okafor,4,2
N. Alexander-Walker , D. Favors , J. Holiday , J. Redick , K. Williams,4,2
N. Alexander-Walker , L. Ball , J. Hart , J. Hayes , N. Melli,4,-1
L. Ball , D. Favors , J. Hart , F. Jackson , J. Redick,4,-1
L. Ball , J. Hart , J. Hayes , J. Redick , K. Williams,4,2
N. Alexander-Walker , D. Favors , F. Jackson , N. Melli , J. Redick,4,0
L. Ball , J. Hart , J. Hayes , B. Ingram , F. Jackson,4,0
N. Alexander-Walker , J. Hart , F. Jackson , N. Melli , K. Williams,3,3
J. Holiday , F. Jackson , E. Moore , J. Okafor , K. Williams,3,-1
N. Alexander-Walker , D. Favors , J. Hart , J. Redick , K. Williams,3,4
D. Favors , J. Hart , J. Holiday , B. Ingram , E. Moore,3,0
L. Ball , D. Favors , J. Hart , F. Jackson , K. Williams,3,0
N. Alexander-Walker , J. Hart , J. Holiday , B. Ingram , J. Okafor,3,2
L. Ball , D. Favors , J. Hart , J. Holiday , J. Redick,3,1
N. Alexander-Walker , J. Hayes , N. Melli , E. Moore , J. Redick,3,2
L. Ball , J. Hayes , B. Ingram , F. Jackson , E. Moore,3,2
L. Ball , J. Hart , F. Jackson , N. Melli , K. Williams,2,-2
L. Ball , J. Holiday , B. Ingram , F. Jackson , N. Melli,2,0
J. Hart , J. Holiday , B. Ingram , J. Okafor , J. Redick,2,-1
J. Hayes , J. Holiday , B. Ingram , J. Redick , K. Williams,2,2
L. Ball , J. Holiday , J. Okafor , J. Redick , K. Williams,2,4
L. Ball , B. Ingram , F. Jackson , J. Okafor , J. Redick,2,3
N. Alexander-Walker , J. Hart , F. Jackson , J. Okafor , J. Redick,2,1
J. Hayes , J. Holiday , F. Jackson , J. Redick , K. Williams,2,-1
L. Ball , J. Holiday , F. Jackson , N. Melli , K. Williams,2,4
L. Ball , J. Hart , F. Jackson , N. Melli , J. Redick,2,2
D. Favors , J. Holiday , B. Ingram , E. Moore , J. Redick,2,1
J. Hart , J. Hayes , J. Holiday , F. Jackson , J. Redick,2,-2
N. Alexander-Walker , J. Hayes , F. Jackson , J. Redick , K. Williams,2,2
N. Alexander-Walker , J. Hart , J. Holiday , J. Okafor , K. Williams,2,0
L. Ball , J. Hart , J. Holiday , B. Ingram , J. Okafor,2,-1
L. Ball , J. Hart , J. Holiday , J. Okafor , K. Williams,1,2
L. Ball , D. Favors , B. Ingram , F. Jackson , J. Redick,1,-2
L. Ball , J. Holiday , B. Ingram , J. Okafor , K. Williams,1,-1
J. Holiday , F. Jackson , J. Okafor , J. Redick , K. Williams,1,1
N. Alexander-Walker , L. Ball , B. Ingram , F. Jackson , J. Okafor,1,0
N. Alexander-Walker , D. Favors , F. Jackson , N. Melli , E. Moore,1,1
N. Alexander-Walker , J. Hayes , B. Ingram , J. Redick , K. Williams,1,-1
